child_id,episode_number,start_date,end_date,placed_with_relative_this_rem_ep,county_of_initial_removal,n_contacts_in_rem_ep,n_visits_in_rem_ep
10000008184,1,2004-07-23,2008-11-25,t,Jackson,0,50
10000008188,1,2009-09-17,2010-06-02,f,Howard,0,10
10000008188,2,2011-07-28,,,Delaware,,
10000008203,1,2007-10-04,2008-08-21,f,,0,6
10000008281,1,2009-08-24,2010-02-16,t,Knox,0,10
10000008330,1,2008-05-29,2009-11-25,t,Boone,0,0
10000008378,1,2011-04-07,2012-04-19,t,Clark,0,0
10000008395,1,2008-05-29,2009-11-25,t,Boone,0,24
10000008399,1,2004-10-02,2008-10-28,f,Marion,0,2
10000008415,1,2011-09-13,2012-02-21,f,Allen,0,0
10000008453,1,2004-10-02,2008-10-28,f,Marion,0,39
10000008463,1,2008-01-09,2008-03-05,t,Hancock,0,1
10000008463,2,2008-03-05,2008-07-21,t,Hancock,0,3
10000008463,3,2008-07-21,,,Hancock,,
10000008505,1,2010-07-08,2011-02-17,f,Lake,0,0
10000008603,1,2008-05-12,2009-05-11,f,Out of State,0,0
10000008897,1,2010-08-24,,,Lake,,
10000008924,1,2008-11-17,2008-11-19,f,Knox,0,0
10000008949,1,2004-01-28,2010-03-31,t,Tippecanoe,0,4
10000008961,1,2011-10-07,2012-06-06,t,Grant,0,5
10000009002,1,2009-08-31,2009-09-08,f,Marion,0,1
10000009066,1,2004-01-28,2010-04-22,f,Howard,0,39
10000009076,1,2008-04-25,2008-09-15,t,Gibson,0,5
10000009182,1,2011-10-07,2012-03-19,t,Grant,0,10
10000009208,1,2008-04-02,2009-04-06,f,Elkhart,0,0
10000009208,2,2009-04-06,,,Elkhart,,
10000009234,1,2010-09-09,,,Lake,,
10000009333,1,2011-10-07,2012-03-19,t,Grant,0,8
10000009380,1,2008-12-10,2009-08-12,t,Montgomery,0,12
10000009581,1,2008-08-21,2011-11-07,t,Noble,0,2
10000009637,1,1995-04-15,2011-03-07,f,Lake,0,18
10000009645,1,2011-08-22,,,Marion,,
10000009822,1,2005-04-12,2010-06-01,f,Montgomery,0,20
10000010022,1,2004-02-20,2009-04-15,f,Hamilton,0,2
10000010086,1,2007-08-17,2010-12-20,f,Jackson,0,3
10000010138,1,2010-03-04,2011-04-13,t,Delaware,0,0
10000010157,1,2001-05-29,2009-01-26,f,St. Joseph,0,21
10000010179,1,2011-07-22,2011-08-25,t,,0,2
10000010205,1,2005-07-13,2009-07-02,f,Montgomery,0,59
10000010231,1,2007-08-17,2009-09-28,f,Jackson,0,2
10000010231,2,2010-01-13,,,Bartholomew,,
10000010439,1,2011-07-22,2011-08-25,t,,0,3
10000010548,1,2009-02-26,2009-03-02,t,Huntington,0,0
10000010552,1,2007-07-18,2008-10-08,f,St. Joseph,0,10
10000010552,2,2009-02-24,2010-01-29,f,St. Joseph,0,0
10000010559,1,2007-10-26,2009-01-16,f,Knox,0,0
10000010601,1,2005-04-12,2009-05-08,f,Montgomery,0,61
10000010736,1,2006-09-25,2008-03-14,f,Henry,0,4
10000010753,1,2011-07-22,2011-08-24,f,Noble,0,0
10000010755,1,1998-07-14,2009-02-19,t,Blackford,0,0
10000010817,1,2008-11-12,2010-06-17,f,Monroe,0,1
10000010884,1,2007-09-09,2010-05-18,t,Henry,0,0
10000010964,1,2008-06-05,2010-09-01,f,Monroe,0,9
10000010987,1,2009-04-29,2010-05-26,t,Howard,0,0
10000011200,1,2008-09-24,2010-07-07,t,Vigo,0,8
